
"QS119EW - Households by deprivation dimensions"
"ONS Crown Copyright Reserved [from Nomis on 17 December 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 ward","All categories: Classification of household deprivation","Household is not deprived in any dimension","Household is deprived in 1 dimension","Household is deprived in 2 dimensions","Household is deprived in 3 dimensions","Household is deprived in 4 dimensions"
"E05003667 : Purewell and Stanpit",1950,837,680,340,82,11
"E05003668 : St Catherine's and Hurn",1615,728,561,301,22,3
"E05003669 : Town Centre",2058,815,733,404,101,5
"E05003670 : West Highcliffe",2627,1138,974,475,39,1
"E05003671 : Alderholt",1141,643,331,150,16,1
"E05003672 : Ameysford",1125,467,404,227,27,0
"E05003673 : Colehill East",1907,1011,631,239,25,1
"E05003674 : Colehill West",950,603,264,75,8,0
"E05003675 : Corfe Mullen Central",2007,1087,634,265,19,2
"E05003676 : Corfe Mullen North",958,547,268,128,12,3
"E05003677 : Corfe Mullen South",1113,562,350,168,32,1
"E05003678 : Crane",851,416,274,126,31,4
"E05003679 : Ferndown Central",2186,789,820,488,83,6
"E05003680 : Ferndown Links",2287,809,890,490,92,6
"E05003681 : Handley Vale",1063,501,368,167,25,2
"E05003682 : Holt",913,484,308,111,10,0
"E05003683 : Longham",1014,534,317,148,15,0
"E05003684 : Parley",2026,909,767,326,23,1
"E05003685 : St Leonards and St Ives East",1992,940,705,306,39,2
"E05003686 : St Leonards and St Ives West",1048,500,411,123,14,0
"E05003687 : Stapehill",998,455,364,164,15,0
"E05003688 : Stour",1010,521,329,138,20,2
"E05003689 : Three Cross and Potterne",989,383,364,180,62,0
"E05003690 : Verwood Dewlands",1976,1064,632,257,23,0
"E05003691 : Verwood Newtown",1121,595,355,151,18,2
"E05003692 : Verwood Stephen's Castle",1975,970,673,316,15,1
"E05003693 : West Moors",3492,1302,1319,772,90,9
"E05003694 : Wimborne Minster",3422,1380,1262,647,121,12
"E05003695 : Abbey",1595,772,534,237,49,3
"E05003696 : Blackmore",1533,690,548,258,35,2
"E05003697 : Blandford Damory Down",782,357,284,117,24,0
"E05003698 : Blandford Hilltop",809,452,250,84,18,5
"E05003699 : Blandford Langton St Leonards",774,306,296,144,27,1
"E05003700 : Blandford Old Town",1086,367,381,265,60,13
"E05003701 : Blandford Station",987,450,296,195,42,4
"E05003702 : Bourton and District",826,413,282,116,14,1
"E05003703 : Bulbarrow",786,406,247,113,18,2
"E05003704 : Cranborne Chase",888,442,321,106,19,0
"E05003705 : Gillingham Town",1106,470,387,195,49,5
"E05003706 : Hill Forts",1917,909,672,284,49,3
"E05003707 : Lodbourne",846,267,317,234,27,1
"E05003708 : Lydden Vale",816,432,262,97,24,1
"E05003709 : Marnhull",905,397,334,147,25,2
"E05003710 : Milton",956,504,302,127,19,4
"E05003711 : Motcombe and Ham",1220,683,388,132,16,1
"E05003712 : Portman",826,394,243,151,32,6
"E05003713 : Riversdale",716,371,218,107,18,2
"E05003714 : Shaftesbury Central",968,366,334,216,48,4
"E05003715 : Shaftesbury Christy's",780,419,256,90,15,0
"E05003716 : Shaftesbury Grosvenor",761,338,270,135,16,2
"E05003717 : Shaftesbury Underhill",726,357,236,100,31,2
"E05003718 : Stour Valley",2107,921,751,359,71,5
"E05003719 : The Beacon",842,436,278,111,15,2
"E05003720 : The Lower Tarrants",898,555,252,79,12,0
"E05003721 : The Stours",767,372,264,111,16,4
"E05003722 : Wyke",1447,709,480,227,31,0
"E05003723 : Bere Regis",883,398,304,136,45,0
"E05003724 : Castle",794,343,305,123,22,1
"E05003725 : Creech Barrow",781,378,275,106,21,1
"E05003726 : Langton",666,332,243,75,14,2
"E05003727 : Lytchett Matravers",1580,795,513,227,44,1
"E05003728 : Lytchett Minster and Upton East",1781,770,590,340,79,2
"E05003729 : Lytchett Minster and Upton West",1591,717,560,275,38,1
"E05003730 : St. Martin",1133,476,421,186,43,7
"E05003731 : Swanage North",1855,730,727,347,46,5
"E05003732 : Swanage South",2649,1060,967,519,99,4
"E05003733 : Wareham",2557,1042,897,519,91,8
"E05003734 : West Purbeck",581,284,194,86,16,1
"E05003735 : Winfrith",717,355,237,112,11,2
"E05003736 : Wool",2015,960,635,341,74,5
"E05003737 : Beaminster",1947,809,706,369,59,4
"E05003738 : Bradford Abbas",811,415,259,115,19,3
"E05003739 : Bradpole",933,374,346,163,46,4
"E05003740 : Bridport North",2068,757,760,448,91,12
"E05003741 : Bridport South and Bothenhampton",2813,1089,1022,574,116,12
"E05003742 : Broadmayne",807,400,300,96,11,0
"E05003743 : Broadwindsor",771,359,272,118,22,0
"E05003744 : Burton Bradstock",912,421,329,142,17,3
"E05003745 : Cam Vale",840,441,275,107,16,1
"E05003746 : Charminster and Cerne Valley",2047,1056,686,267,36,2
"E05003747 : Charmouth",815,327,333,136,19,0
"E05003748 : Chesil Bank",938,441,341,126,28,2
"E05003749 : Chickerell",2386,1045,787,478,68,8
"E05003750 : Chideock and Symondsbury",811,368,296,124,23,0
"E05003751 : Dorchester East",2212,1000,738,392,76,6
"E05003752 : Dorchester North",2627,1150,848,501,114,14
"E05003753 : Dorchester South",1664,868,546,216,31,3
"E05003754 : Dorchester West",1946,936,629,298,74,9
"E05003755 : Frome Valley",974,528,319,110,14,3
"E05003756 : Halstock",785,411,269,81,23,1
"E05003757 : Loders",762,366,287,95,13,1
"E05003758 : Lyme Regis",1770,781,627,306,52,4
"E05003759 : Maiden Newton",905,434,314,124,30,3
"E05003760 : Marshwood Vale",753,357,275,99,20,2
"E05003761 : Netherbury",881,438,283,127,31,2
"E05003762 : Owermoigne",1620,755,573,239,52,1
"E05003763 : Piddle Valley",856,456,262,120,16,2
"E05003764 : Puddletown",1048,572,314,142,19,1
"E05003765 : Queen Thorne",863,441,296,98,26,2
"E05003766 : Sherborne East",2100,944,730,352,66,8
"E05003767 : Sherborne West",2113,940,735,360,78,0
"E05003768 : Winterborne St Martin",896,441,293,142,20,0
"E05003769 : Yetminster",712,363,233,102,14,0
"E05003770 : Littlemoor",1575,543,535,364,121,12
"E05003771 : Melcombe Regis",2983,972,1012,697,253,49
"E05003772 : Preston",2280,1091,849,321,18,1
"E05003773 : Radipole",1632,738,569,267,55,3
"E05003774 : Tophill East",1392,615,455,254,64,4
"E05003775 : Tophill West",2205,910,770,424,95,6
"E05003776 : Underhill",1578,529,544,396,92,17
"E05003777 : Upwey and Broadwey",1601,741,542,249,66,3
"E05003778 : Westham East",1719,702,526,365,111,15
"E05003779 : Westham North",2275,805,800,515,146,9
"E05003780 : Westham West",1580,550,538,374,108,10
"E05003781 : Wey Valley",1434,713,510,185,23,3
"E05003782 : Weymouth East",1760,697,621,316,102,24
"E05003783 : Weymouth West",2122,938,705,368,103,8
"E05003784 : Wyke Regis",2399,1066,802,443,83,5
"E05004288 : All Saints",2665,1394,835,320,98,18
"E05004289 : Battledown",2306,1413,621,228,40,4
"E05004290 : Benhall and The Reddings",2137,1175,657,273,29,3
"E05004291 : Charlton Kings",2280,1330,648,250,48,4
"E05004292 : Charlton Park",2183,1252,692,213,20,6
"E05004293 : College",2670,1538,776,289,62,5
"E05004294 : Hesters Way",2983,1184,1029,577,169,24
"E05004295 : Lansdown",2974,1499,1003,336,124,12
"E05004296 : Leckhampton",2276,1370,662,221,22,1
"E05004297 : Oakley",2443,767,843,611,202,20
"E05004298 : Park",3021,1807,860,310,41,3
"E05004299 : Pittville",2655,1450,802,325,70,8
"E05004300 : Prestbury",2341,1238,767,306,29,1
"E05004301 : St Mark's",2598,1065,805,556,158,14
"E05004302 : St Paul's",2432,895,876,472,170,19
"E05004303 : St Peter's",2960,1331,982,469,159,19
"E05004304 : Springbank",2802,1160,953,541,139,9
"E05004305 : Swindon Village",2451,1124,814,404,103,6
"E05004306 : Up Hatherley",2280,1250,669,322,37,2
"E05004307 : Warden Hill",2472,1313,738,366,48,7
"E05004308 : Ampney-Coln",818,469,252,77,17,3
"E05004309 : Avening",815,457,240,99,18,1
"E05004310 : Beacon-Stow",1561,730,562,237,30,2
"E05004311 : Blockley",905,513,264,101,27,0
"E05004312 : Bourton-on-the-Water",1705,729,629,305,42,0
"E05004313 : Campden-Vale",2684,1327,916,373,65,3
"E05004314 : Chedworth",721,429,203,82,7,0
"E05004315 : Churn Valley",732,412,221,88,9,2
"E05004316 : Cirencester Beeches",1642,785,542,261,50,4
"E05004317 : Cirencester Chesterton",1602,798,507,243,49,5
"E05004318 : Cirencester Park",1636,681,579,319,51,6
"E05004319 : Cirencester Stratton-Whiteway",1507,835,457,194,19,2
"E05004320 : Cirencester Watermoor",2030,879,665,395,82,9
"E05004321 : Ermin",749,446,219,73,7,4
"E05004322 : Fairford",1682,847,566,242,27,0
"E05004323 : Fosseridge",841,443,286,96,16,0
"E05004324 : Grumbolds Ash",796,471,225,85,15,0
"E05004325 : Hampton",751,413,223,103,12,0
"E05004326 : Kempsford-Lechlade",1769,910,561,256,40,2
"E05004327 : Moreton-in-Marsh",1653,707,628,272,44,2
"E05004328 : Northleach",787,412,247,111,15,2
"E05004329 : Rissingtons",848,507,247,81,12,1
"E05004330 : Riversmeet",815,488,233,82,9,3
"E05004331 : Sandywell",788,461,247,73,7,0
"E05004332 : Tetbury",2403,1188,754,388,70,3
"E05004333 : Thames Head",782,465,218,86,13,0
"E05004334 : Three Rivers",875,499,281,77,17,1
"E05004335 : Water Park",2339,1204,771,315,46,3
"E05004336 : Alvington, Aylburton and West Lydney",1372,576,466,275,52,3
"E05004337 : Awre",686,313,227,122,22,2
"E05004338 : Berry Hill",677,274,220,153,28,2
"E05004339 : Blaisdon and Longhope",689,357,224,87,20,1
"E05004340 : Bream",1335,554,468,266,43,4
"E05004341 : Bromesberrow and Dymock",785,405,226,130,23,1
"E05004342 : Christchurch and English Bicknor",639,305,204,111,17,2
"E05004343 : Churcham and Huntley",735,361,246,111,17,0
"E05004344 : Cinderford East",1526,577,498,356,89,6
"E05004345 : Cinderford West",2228,773,739,559,135,22
"E05004346 : Coleford Central",1411,496,485,346,75,9
"E05004347 : Coleford East",2274,887,759,511,111,6
"E05004348 : Hartpury",673,365,222,74,12,0
"E05004349 : Hewelsfield and Woolaston",711,355,241,103,9,3
"E05004350 : Littledean and Ruspidge",1579,647,539,315,74,4
"E05004351 : Lydbrook and Ruardean",2052,903,701,369,74,5
"E05004352 : Lydney East",2121,774,702,520,122,3
"E05004353 : Lydney North",770,344,272,143,11,0
"E05004354 : Mitcheldean and Drybrook",1862,797,606,368,88,3
"E05004355 : Newent Central",1642,707,566,303,64,2
"E05004356 : Newland and St Briavels",1391,664,464,217,46,0
"E05004357 : Newnham and Westbury",1230,611,390,197,25,7
"E05004358 : Oxenhall and Newent North East",660,321,215,109,13,2
"E05004359 : Pillowell",1475,632,513,276,53,1
"E05004360 : Redmarley",749,370,233,125,18,3
"E05004361 : Tibberton",703,378,222,87,13,3
"E05004362 : Tidenham",2192,1064,697,368,60,3
"E05004363 : Abbey",3926,2124,1210,522,64,6
"E05004364 : Barnwood",4008,1885,1284,650,176,13
"E05004365 : Barton and Tredworth",4254,1304,1494,1063,337,56
"E05004366 : Elmbridge",2285,1136,762,327,57,3
"E05004367 : Grange",2549,1036,896,539,73,5
"E05004368 : Hucclecote",3847,1889,1265,616,75,2
"E05004369 : Kingsholm and Wotton",3318,1293,1147,650,186,42
"E05004370 : Longlevens",3919,2021,1275,552,69,2
"E05004371 : Matson and Robinswood",4415,1426,1466,1105,378,40
"E05004372 : Moreland",4027,1570,1313,846,268,30
"E05004373 : Podsmead",1291,375,431,357,117,11
"E05004374 : Quedgeley Fieldcourt",4025,2133,1222,566,97,7
"E05004375 : Quedgeley Severn Vale",2812,1696,765,288,62,1
"E05004376 : Tuffley",2423,926,823,533,130,11
"E05004377 : Westgate",3264,1086,1184,686,261,47
"E05004378 : Amberley and Woodchester",888,545,253,85,5,0
"E05004379 : Berkeley",1813,830,562,353,67,1
"E05004380 : Bisley",936,537,303,84,12,0
"E05004381 : Cainscross",3027,1388,959,566,105,9
"E05004382 : Cam East",1808,900,551,303,51,3
"E05004383 : Cam West",1765,798,555,344,66,2
"E05004384 : Central",1005,438,334,187,34,12
"E05004385 : Chalford",2681,1593,794,252,39,3
"E05004386 : Coaley and Uley",947,535,294,101,17,0
"E05004387 : Dursley",2909,1391,935,468,102,13
"E05004388 : Eastington and Standish",736,393,213,110,19,1
"E05004389 : Farmhill and Paganhill",987,415,313,197,59,3
"E05004390 : Hardwicke",2010,993,651,304,55,7
"E05004391 : Kingswood",784,478,227,71,7,1
"E05004392 : Minchinhampton",1872,944,615,278,32,3
"E05004393 : Nailsworth",2827,1480,840,429,76,2
"E05004394 : Randwick, Whiteshill and Ruscombe",717,400,222,89,6,0
"E05004395 : Painswick",1892,1064,624,183,19,2
"E05004396 : Rodborough",1926,1111,529,258,25,3
"E05004397 : Severn",1833,993,537,255,48,0
"E05004398 : Slade",917,406,274,169,65,3
"E05004399 : Stonehouse",3193,1391,1040,610,145,7
"E05004400 : The Stanleys",1693,835,522,286,50,0
"E05004401 : Thrupp",934,554,252,102,25,1
"E05004402 : Trinity",986,485,328,135,33,5
"E05004403 : Uplands",950,459,303,146,41,1
"E05004404 : Upton St Leonards",1163,659,359,125,20,0
"E05004405 : Vale",727,409,226,77,14,1
"E05004406 : Valley",1109,538,356,158,54,3
"E05004407 : Wotton-under-Edge",2759,1398,896,388,71,6
"E05004408 : Ashchurch with Walton Cardiff",1733,1147,436,129,21,0
"E05008563 : Badgeworth",910,403,318,155,31,3
"E05008564 : Brockworth",3062,1427,970,530,121,14
"E05008565 : Churchdown Brookfield",1784,909,597,253,22,3
"E05004412 : Churchdown St John's",2994,1560,890,447,84,13
"E05008566 : Cleeve Grange",950,433,323,165,27,2
"E05008567 : Cleeve Hill",1706,996,520,174,16,0
"E05008568 : Cleeve St Michael's",1872,796,634,393,46,3
"E05004416 : Cleeve West",1898,1137,550,181,27,3
"E05008569 : Coombe Hill",2020,1013,660,282,58,7
"E05004418 : Highnam with Haw Bridge",1691,978,505,182,22,4
"E05008570 : Hucclecote",574,335,160,72,6,1
"E05004420 : Innsworth with Down Hatherley",1053,488,341,184,36,4
"E05008571 : Isbourne",848,503,257,76,10,2
"E05004422 : Northway",2055,912,721,352,63,7
"E05008572 : Oxenton Hill",648,366,209,68,5,0
"E05008573 : Shurdington",861,366,286,180,29,0
"E05004425 : Tewkesbury Newtown",812,408,275,121,8,0
"E05008574 : Tewkesbury Prior's Park",1807,622,668,385,125,7
"E05004427 : Tewkesbury Town with Mitton",2317,945,824,445,89,14
"E05004428 : Twyning",695,376,213,92,12,2
"E05008575 : Winchcombe",2836,1486,899,387,61,3
"E05006760 : Ammerdown",975,493,312,146,22,2
"E05006761 : Ashwick, Chilcompton and Stratton",1792,928,566,248,46,4
"E05006762 : Beckington and Selwood",877,444,283,117,27,6
"E05006763 : Butleigh and Baltonsborough",927,521,280,109,16,1
"E05006764 : Chewton Mendip and Ston Easton",822,450,262,99,10,1
"E05006765 : Coleford and Holcombe",1961,891,656,358,52,4
"E05006766 : Cranmore, Doulting and Nunney",943,464,308,146,24,1
"E05006767 : Creech",1042,444,349,222,24,3
"E05006768 : Croscombe and Pilton",961,535,289,116,19,2
"E05006769 : Frome Berkley Down",1707,777,570,313,39,8
"E05006770 : Frome College",2001,1009,648,302,39,3
"E05006771 : Frome Keyford",2074,959,667,338,102,8
"E05006772 : Frome Market",2132,949,680,385,106,12
"E05006773 : Frome Oakfield",1223,521,411,222,57,12
"E05006774 : Frome Park",2061,833,712,424,86,6
"E05006775 : Glastonbury St Benedict's",1147,418,391,245,72,21
"E05006776 : Glastonbury St Edmund's",967,388,316,203,54,6
"E05006777 : Glastonbury St John's",965,391,329,192,49,4
"E05006778 : Glastonbury St Mary's",957,405,355,148,42,7
"E05006779 : Moor",1026,483,341,172,27,3
"E05006780 : Postlebury",819,454,240,108,16,1
"E05006781 : Rode and Norton St Philip",941,555,287,81,17,1
"E05006782 : Rodney and Westbury",873,441,297,103,32,0
"E05006783 : St Cuthbert Out North",1036,570,335,116,14,1
"E05006784 : Shepton East",2313,1079,748,378,96,12
"E05006785 : Shepton West",2064,888,692,402,77,5
"E05006786 : Street North",1893,772,628,395,93,5
"E05006787 : Street South",2052,814,674,468,89,7
"E05006788 : Street West",823,403,282,123,15,0
"E05006789 : The Pennards and Ditcheat",870,465,274,116,14,1
"E05006790 : Wells Central",1056,409,396,212,37,2
"E05006791 : Wells St Cuthbert's",1998,856,642,410,83,7
"E05006792 : Wells St Thomas'",1858,908,649,257,41,3
"E05006793 : Wookey and St Cuthbert Out West",1001,484,327,162,27,1
"E05008893 : Axevale",1742,963,529,211,33,6
"E05008894 : Berrow",967,349,344,224,45,5
"E05008895 : Bridgwater Dunwear",2084,708,716,519,136,5
"E05008896 : Bridgwater Eastover",2060,751,720,436,139,14
"E05008897 : Bridgwater Fairfax",3200,1123,1123,706,218,30
"E05008898 : Bridgwater Hamp",2055,670,695,524,160,6
"E05008899 : Bridgwater Victoria",2611,1150,884,431,133,13
"E05008900 : Bridgwater Westover",2627,827,862,667,235,36
"E05008901 : Bridgwater Wyndham",1743,839,570,290,43,1
"E05008902 : Burnham Central",3201,1172,1178,714,131,6
"E05008903 : Burnham North",2997,1171,1032,693,92,9
"E05008904 : Cannington and Wembdon",1825,866,584,314,60,1
"E05008905 : Cheddar and Shipham",2913,1474,903,473,60,3
"E05008906 : East Polden",862,428,293,114,26,1
"E05008907 : Highbridge and Burnham Marine",3386,1061,1191,842,257,35
"E05008908 : Huntspill and Pawlett",945,373,325,210,35,2
"E05008909 : King's Isle",1839,810,636,331,57,5
"E05008910 : Knoll",1935,945,676,261,50,3
"E05008911 : North Petherton",2977,1434,957,500,79,7
"E05008912 : Puriton and Woolavington",2039,874,693,402,68,2
"E05008913 : Quantocks",1941,926,681,278,52,4
"E05008914 : Wedmore and Mark",1884,1005,589,258,31,1
"E05008915 : West Polden",968,483,324,140,19,2
"E05006819 : Blackdown",1067,503,372,163,26,3
"E05006820 : Blackmoor Vale",2378,1150,777,377,71,3
"E05006821 : Bruton",1082,496,354,178,49,5
"E05006822 : Brympton",3008,1747,862,327,62,10
"E05006823 : Burrow Hill",946,496,294,138,17,1
"E05006824 : Camelot",1135,577,377,160,21,0
"E05006825 : Cary",2428,1180,837,365,41,5
"E05006826 : Chard Avishayes",1114,455,407,213,35,4
"E05006827 : Chard Combe",995,350,365,231,44,5
"E05006828 : Chard Crimchard",1146,514,400,192,34,6
"E05006829 : Chard Holyrood",1445,459,551,343,81,11
"E05006830 : Chard Jocelyn",1082,422,364,240,50,6
"E05006831 : Coker",2357,1179,723,374,77,4
"E05006832 : Crewkerne",3585,1508,1234,697,137,9
"E05006833 : Curry Rivel",1097,520,376,180,21,0
"E05006834 : Eggwood",1065,502,364,173,25,1
"E05006835 : Hamdon",1169,566,364,198,37,4
"E05006836 : Ilminster",2695,1230,901,483,72,9
"E05006837 : Islemoor",1156,527,401,197,29,2
"E05006838 : Ivelchester",1367,692,432,210,31,2
"E05006839 : Langport and Huish",1251,522,429,255,39,6
"E05006840 : Martock",2504,1169,817,437,76,5
"E05006841 : Milborne Port",1251,609,407,211,24,0
"E05006842 : Neroche",1052,502,376,151,23,0
"E05006843 : Northstone",1232,657,402,153,19,1
"E05006844 : Parrett",1031,518,339,157,17,0
"E05006845 : St Michael's",989,464,324,159,39,3
"E05006846 : South Petherton",2219,1052,770,334,58,5
"E05006847 : Tatworth and Forton",1108,464,389,222,30,3
"E05006848 : Tower",1017,560,344,93,18,2
"E05006849 : Turn Hill",1159,622,353,160,24,0
"E05006850 : Wessex",2444,1078,868,419,76,3
"E05006851 : Wincanton",2325,973,784,487,76,5
"E05006852 : Windwhistle",983,472,350,136,22,3
"E05006853 : Yeovil Central",3487,1269,1188,798,201,31
"E05006854 : Yeovil East",3252,1162,1140,707,228,15
"E05006855 : Yeovil South",3763,1935,1176,542,97,13
"E05006856 : Yeovil West",3063,1224,1028,631,164,16
"E05006857 : Yeovil Without",3054,1414,1042,515,81,2
"E05006858 : Bishop's Hull",1601,673,566,309,47,6
"E05006859 : Bishop's Lydeard",2536,1416,758,301,60,1
"E05006860 : Blackdown",846,458,286,88,13,1
"E05006861 : Bradford-on-Tone",971,515,322,111,22,1
"E05006862 : Comeytrowe",2480,1199,845,393,39,4
"E05006863 : Milverton and North Deane",944,485,287,149,21,2
"E05006864 : Monument",859,450,288,112,9,0
"E05006865 : Neroche",921,488,304,115,14,0
"E05006866 : North Curry and Stoke St Gregory",1370,681,437,206,41,5
"E05006867 : Norton Fitzwarren",1026,528,321,155,21,1
"E05006868 : Ruishton and Creech",1709,797,613,265,31,3
"E05006869 : Staplegrove",1597,804,518,228,41,6
"E05006870 : Taunton Blackbrook and Holway",2856,1245,909,559,131,12
"E05006871 : Taunton Eastgate",2129,965,711,346,92,15
"E05006872 : Taunton Fairwater",2862,1443,902,412,90,15
"E05006873 : Taunton Halcon",2720,980,942,606,179,13
"E05006874 : Taunton Killams and Mountfield",1565,834,497,204,28,2
"E05006875 : Taunton Lyngford",2481,952,788,574,155,12
"E05006876 : Taunton Manor and Wilton",2634,1188,914,453,73,6
"E05006877 : Taunton Pyrland and Rowbarton",2603,960,883,588,156,16
"E05006878 : Trull",860,454,275,118,13,0
"E05006879 : Wellington East",1684,683,607,326,68,0
"E05006880 : Wellington North",1620,698,532,306,78,6
"E05006881 : Wellington Rockwell Green and West",2629,1186,873,484,81,5
"E05006882 : West Monkton",1728,987,511,204,22,4
"E05006883 : Wiveliscombe and West Deane",1676,744,574,301,55,2
"E05008916 : Alcombe",1066,356,415,231,55,9
"E05008917 : Brendon Hills",560,255,222,73,10,0
"E05008918 : Carhampton and Withycombe",539,192,200,113,32,2
"E05008919 : Crowcombe and Stogumber",510,257,172,72,9,0
"E05008920 : Dulverton and District",1211,462,469,240,36,4
"E05008921 : Dunster and Timberscombe",601,224,203,145,28,1
"E05008922 : Greater Exmoor",482,196,181,93,12,0
"E05008923 : Minehead Central",1787,691,666,349,74,7
"E05008924 : Minehead North",1112,391,398,259,51,13
"E05008925 : Minehead South",1279,423,504,304,46,2
"E05008926 : Old Cleeve",1027,435,350,195,45,2
"E05008927 : Porlock and District",1117,470,398,211,37,1
"E05008928 : Quantock Vale",931,374,333,177,46,1
"E05008929 : Watchet",1687,603,543,421,105,15
"E05008930 : West Quantock",530,232,204,78,16,0
"E05008931 : Williton",1184,387,430,307,56,4
"W05000001 : Aberffraw",629,217,212,158,41,1
"W05000002 : Amlwch Port",1131,374,388,274,80,15
"W05000003 : Amlwch Rural",555,211,192,118,30,4
"W05000004 : Beaumaris",980,393,374,172,37,4
"W05000005 : Bodffordd",654,266,215,133,31,9
"W05000006 : Bodorgan",717,316,232,126,38,5
"W05000007 : Braint",617,320,167,109,20,1
"W05000008 : Bryngwran",778,288,244,191,49,6
"W05000009 : Brynteg",899,361,315,194,27,2
"W05000010 : Cadnant",609,313,202,64,27,3
"W05000011 : Cefni",665,270,237,138,20,0
"W05000882 : Cwm Cadnant",942,515,305,104,18,0
"W05000013 : Cyngar",891,415,253,179,39,5
"W05000014 : Gwyngyll",653,331,217,91,13,1
"W05000015 : Holyhead Town",579,160,182,163,60,14
"W05000883 : Kingsland",642,218,205,162,52,5
"W05000017 : Llanbadrig",646,248,220,135,40,3
"W05000884 : Llanbedrgoch",691,265,273,132,19,2
"W05000019 : Llanddyfnan",558,249,204,81,23,1
"W05000020 : Llaneilian",968,352,314,246,53,3
"W05000021 : Llanfaethlu",689,224,249,169,43,4
"W05000022 : Llanfair-yn-Neubwll",1107,488,330,210,75,4
"W05000885 : Llanfihangel Ysgeifiog",859,374,280,170,30,5
"W05000024 : Llangoed",580,223,205,124,27,1
"W05000025 : Llanidan",773,351,242,136,42,2
"W05000026 : Llannerch-y-medd",802,327,239,189,43,4
"W05000886 : London Road",718,209,217,214,72,6
"W05000028 : Maeshyfryd",997,302,325,266,98,6
"W05000029 : Mechell",659,244,220,144,42,9
"W05000030 : Moelfre",491,207,163,89,31,1
"W05000031 : Morawelon",697,164,219,221,89,4
"W05000032 : Parc a'r Mynydd",520,220,150,134,14,2
"W05000887 : Pentraeth",804,335,284,149,33,3
"W05000034 : Porthyfelin",1040,335,350,255,92,8
"W05000035 : Rhosneigr",489,214,170,87,17,1
"W05000036 : Rhosyr",986,361,340,233,51,1
"W05000888 : Trearddur",1009,425,379,183,22,0
"W05000038 : Tudur",637,180,221,182,51,3
"W05000039 : Tysilio",910,449,286,138,34,3
"W05000040 : Valley",1023,425,348,203,45,2
"W05000041 : Aberdaron",420,164,149,90,16,1
"W05000042 : Aberdovey",688,323,235,110,19,1
"W05000043 : Abererch",586,218,208,136,21,3
"W05000044 : Abermaw",1245,403,480,277,80,5
"W05000045 : Abersoch",408,181,151,63,13,0
"W05000046 : Arllechwedd",580,269,203,86,21,1
"W05000047 : Bala",936,346,326,222,37,5
"W05000048 : Bethel",551,289,157,81,22,2
"W05000049 : Bontnewydd",472,231,129,99,12,1
"W05000050 : Botwnnog",406,159,143,76,26,2
"W05000051 : Bowydd and Rhiw",869,273,288,226,71,11
"W05000052 : Brithdir and Llanfachreth/Ganllwyd/Llanelltyd",635,262,245,111,17,0
"W05000053 : Bryn-crug/Llanfihangel",463,188,141,112,20,2
"W05000054 : Cadnant",954,281,308,263,92,10
"W05000055 : Clynnog",417,170,138,86,17,6
"W05000056 : Corris/Mawddwy",624,262,202,137,23,0
"W05000057 : Criccieth",801,354,292,137,17,1
"W05000058 : Cwm-y-Glo",407,205,117,67,18,0
"W05000059 : Deiniol",553,225,207,94,23,4
"W05000060 : Deiniolen",802,322,234,193,50,3
"W05000061 : Dewi",693,309,210,138,35,1
"W05000062 : Diffwys and Maenofferen",584,192,201,123,63,5
"W05000063 : Dolbenmaen",513,196,190,97,26,4
"W05000064 : Dolgellau North",592,263,197,102,26,4
"W05000065 : Dolgellau South",688,275,235,130,41,7
"W05000066 : Dyffryn Ardudwy",751,277,282,158,31,3
"W05000067 : Efail-newydd/Buan",543,205,207,105,24,2
"W05000068 : Garth",312,158,93,50,11,0
"W05000069 : Gerlan",1016,484,303,172,46,11
"W05000070 : Glyder",700,324,213,128,34,1
"W05000071 : Groeslon",729,336,242,119,30,2
"W05000072 : Harlech",946,377,343,192,32,2
"W05000073 : Hendre",622,242,205,136,36,3
"W05000074 : Hirael",713,292,220,158,38,5
"W05000075 : Llanaelhaearn",722,251,255,162,48,6
"W05000076 : Llanbedr",528,174,217,115,20,2
"W05000077 : Llanbedrog",507,170,169,105,59,4
"W05000078 : Llanberis",896,378,286,177,54,1
"W05000079 : Llandderfel",607,261,224,95,24,3
"W05000080 : Llanengan",556,226,208,96,24,2
"W05000081 : Llangelynin",978,304,393,227,45,9
"W05000082 : Llanllyfni",535,185,179,134,32,5
"W05000083 : Llanrug",756,347,234,129,45,1
"W05000084 : Llanuwchllyn",389,192,130,59,7,1
"W05000085 : Llanwnda",817,366,261,165,21,4
"W05000086 : Llanystumdwy",849,370,285,160,30,4
"W05000087 : Marchog",1029,269,331,292,123,14
"W05000088 : Menai (Bangor)",697,314,242,109,29,3
"W05000089 : Menai (Caernarfon)",1037,453,362,185,34,3
"W05000090 : Morfa Nefyn",574,242,214,97,20,1
"W05000091 : Nefyn",618,249,225,113,27,4
"W05000092 : Ogwen",1042,402,348,214,73,5
"W05000093 : Peblig (Caernarfon)",925,227,295,270,120,13
"W05000094 : Penisarwaun",724,345,242,114,23,0
"W05000095 : Penrhyndeudraeth",1122,449,422,197,47,7
"W05000096 : Pentir",1004,491,334,148,31,0
"W05000097 : Penygroes",793,281,283,173,51,5
"W05000098 : Porthmadog East",779,307,250,175,43,4
"W05000099 : Porthmadog West",872,383,326,137,25,1
