QS102EW - Population density,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,
,,
population,All usual residents,
E05003637 : Winkleigh,"2,068",0.3
E05003638 : Bere Ferrers,"2,989",1.2
E05003639 : Bridestowe,"1,610",0.2
E05003640 : Buckland Monachorum,"3,380",1.3
E05003641 : Burrator,"1,445",0.2
E05003642 : Chagford,"1,449",0.5
E05003643 : Drewsteignton,"1,614",0.2
E05003644 : Exbourne,"1,695",0.2
E05003645 : Hatherleigh,"2,218",0.4
E05003646 : Lew Valley,"2,024",0.2
E05003647 : Lydford,"2,047",0.1
E05003648 : Mary Tavy,"1,559",0.2
E05003649 : Milton Ford,"1,617",0.2
E05003650 : North Tawton,"2,026",0.7
E05003651 : Okehampton East,"4,085",29.4
E05003652 : Okehampton West,"3,415",0.9
E05003653 : Tamarside,"1,622",0.3
E05003654 : Tavistock North,"5,641",6.5
E05003655 : Tavistock South,"4,305",12.1
E05003656 : Tavistock South West,"2,334",22.9
E05003657 : South Tawton,"1,683",0.4
E05003658 : Thrushel,"1,680",0.4
E05003659 : Walkham,"3,115",1.0
E05003660 : Burton and Winkton,"4,177",4.8
E05003661 : Grange,"4,875",36.8
E05003662 : Highcliffe,"3,456",17.4
E05003663 : Jumpers,"4,366",36.2
E05003664 : Mudeford and Friars Cliff,"4,977",28.2
E05003665 : North Highcliffe and Walkford,"3,638",23.0
E05003666 : Portfield,"4,470",38.6
E05003667 : Purewell and Stanpit,"4,252",19.2
E05003668 : St Catherine's and Hurn,"3,720",1.4
E05003669 : Town Centre,"4,234",32.4
E05003670 : West Highcliffe,"5,587",19.8
E05003671 : Alderholt,"2,848",4.1
E05003672 : Ameysford,"2,457",34.8
E05003673 : Colehill East,"4,626",10.6
E05003674 : Colehill West,"2,301",5.1
E05003675 : Corfe Mullen Central,"5,038",40.2
E05003676 : Corfe Mullen North,"2,457",3.5
E05003677 : Corfe Mullen South,"2,638",6.7
E05003678 : Crane,"2,189",0.3
E05003679 : Ferndown Central,"4,340",16.8
E05003680 : Ferndown Links,"5,132",17.3
E05003681 : Handley Vale,"2,491",0.3
E05003682 : Holt,"2,286",0.5
E05003683 : Longham,"2,502",4.3
E05003684 : Parley,"4,650",8.9
E05003685 : St Leonards and St Ives East,"4,588",2.1
E05003686 : St Leonards and St Ives West,"2,271",7.4
E05003687 : Stapehill,"2,343",3.1
E05003688 : Stour,"2,582",0.5
E05003689 : Three Cross and Potterne,"2,647",3.9
E05003690 : Verwood Dewlands,"4,984",11.6
E05003691 : Verwood Newtown,"2,567",47.3
E05003692 : Verwood Stephen's Castle,"4,654",8.0
E05003693 : West Moors,"7,561",8.9
E05003694 : Wimborne Minster,"7,014",19.2
E05003695 : Abbey,"3,897",0.5
E05003696 : Blackmore,"3,574",0.8
E05003697 : Blandford Damory Down,"1,781",53.8
E05003698 : Blandford Hilltop,"2,062",19.9
E05003699 : Blandford Langton St Leonards,"1,876",35.5
E05003700 : Blandford Old Town,"1,993",16.4
E05003701 : Blandford Station,"2,271",59.1
E05003702 : Bourton and District,"1,905",0.6
E05003703 : Bulbarrow,"1,850",0.4
E05003704 : Cranborne Chase,"1,993",0.4
E05003705 : Gillingham Town,"2,509",16.8
E05003706 : Hill Forts,"4,818",0.8
E05003707 : Lodbourne,"1,773",15.3
E05003708 : Lydden Vale,"1,967",0.4
E05003709 : Marnhull,"1,998",1.3
E05003710 : Milton,"2,297",1.6
E05003711 : Motcombe and Ham,"3,216",1.4
E05003712 : Portman,"2,436",1.4
E05003713 : Riversdale,"1,711",0.9
E05003714 : Shaftesbury Central,"2,121",31.9
E05003715 : Shaftesbury Christy's,"1,905",20.4
E05003716 : Shaftesbury Grosvenor,"1,780",26.5
E05003717 : Shaftesbury Underhill,"1,508",6.8
E05003718 : Stour Valley,"4,757",1.5
E05003719 : The Beacon,"2,277",0.6
E05003720 : The Lower Tarrants,"3,302",0.8
E05003721 : The Stours,"1,786",0.5
E05003722 : Wyke,"3,220",11.7
E05003723 : Bere Regis,"1,945",0.4
E05003724 : Castle,"1,780",0.3
E05003725 : Creech Barrow,"1,764",0.3
E05003726 : Langton,"1,491",0.7
E05003727 : Lytchett Matravers,"3,747",1.3
E05003728 : Lytchett Minster and Upton East,"4,244",11.3
E05003729 : Lytchett Minster and Upton West,"3,739",3.5
E05003730 : St. Martin,"2,774",0.9
E05003731 : Swanage North,"3,771",6.3
E05003732 : Swanage South,"5,830",11.2
E05003733 : Wareham,"5,496",8.7
E05003734 : West Purbeck,"1,464",0.3
E05003735 : Winfrith,"1,618",0.3
E05003736 : Wool,"5,310",3.6
E05003737 : Beaminster,"4,107",1.1
E05003738 : Bradford Abbas,"1,914",1.0
E05003739 : Bradpole,"2,038",7.3
E05003740 : Bridport North,"4,422",25.1
E05003741 : Bridport South and Bothenhampton,"5,675",14.3
E05003742 : Broadmayne,"1,870",1.1
E05003743 : Broadwindsor,"1,736",0.4
E05003744 : Burton Bradstock,"1,897",0.6
E05003745 : Cam Vale,"2,000",0.4
E05003746 : Charminster and Cerne Valley,"4,768",0.6
E05003747 : Charmouth,"1,697",1.0
E05003748 : Chesil Bank,"2,094",0.3
E05003749 : Chickerell,"5,515",4.0
E05003750 : Chideock and Symondsbury,"1,745",0.6
E05003751 : Dorchester East,"4,721",33.0
E05003752 : Dorchester North,"5,456",18.4
E05003753 : Dorchester South,"4,049",32.3
E05003754 : Dorchester West,"4,834",32.9
E05003755 : Frome Valley,"2,210",0.4
E05003756 : Halstock,"1,848",0.2
E05003757 : Loders,"1,697",0.5
E05003758 : Lyme Regis,"3,671",7.3
E05003759 : Maiden Newton,"2,081",0.3
E05003760 : Marshwood Vale,"1,717",0.3
E05003761 : Netherbury,"2,080",0.7
E05003762 : Owermoigne,"3,804",0.8
E05003763 : Piddle Valley,"1,988",0.3
E05003764 : Puddletown,"2,437",0.4
E05003765 : Queen Thorne,"2,011",0.3
E05003766 : Sherborne East,"4,422",19.4
E05003767 : Sherborne West,"5,101",11.6
E05003768 : Winterborne St Martin,"2,095",0.4
E05003769 : Yetminster,"1,564",1.0
E05003770 : Littlemoor,"3,688",29.9
E05003771 : Melcombe Regis,"5,878",50.5
E05003772 : Preston,"4,830",6.8
E05003773 : Radipole,"3,811",36.5
E05003774 : Tophill East,"3,656",9.8
E05003775 : Tophill West,"5,175",10.3
E05003776 : Underhill,"4,013",12.0
E05003777 : Upwey and Broadwey,"3,628",5.6
E05003778 : Westham East,"3,783",54.5
E05003779 : Westham North,"5,265",19.3
E05003780 : Westham West,"3,682",35.3
E05003781 : Wey Valley,"3,404",7.9
E05003782 : Weymouth East,"3,592",39.1
E05003783 : Weymouth West,"5,191",42.4
E05003784 : Wyke Regis,"5,571",31.7
E05004288 : All Saints,"5,394",70.9
E05004289 : Battledown,"5,460",7.8
E05004290 : Benhall and The Reddings,"5,071",27.5
E05004291 : Charlton Kings,"5,628",11.6
E05004292 : Charlton Park,"4,851",13.5
E05004293 : College,"5,951",43.8
E05004294 : Hesters Way,"6,902",33.7
E05004295 : Lansdown,"5,923",49.6
E05004296 : Leckhampton,"5,275",24.5
E05004297 : Oakley,"5,731",41.5
E05004298 : Park,"6,689",42.2
E05004299 : Pittville,"5,327",32.7
E05004300 : Prestbury,"5,165",12.6
E05004301 : St Mark's,"6,108",46.9
E05004302 : St Paul's,"6,403",92.0
E05004303 : St Peter's,"6,834",48.2
E05004304 : Springbank,"6,536",33.4
E05004305 : Swindon Village,"5,700",10.8
E05004306 : Up Hatherley,"5,316",46.0
E05004307 : Warden Hill,"5,468",41.3
E05004308 : Ampney-Coln,"1,884",0.3
E05004309 : Avening,"1,930",0.4
E05004310 : Beacon-Stow,"3,365",0.9
E05004311 : Blockley,"2,041",0.7
E05004312 : Bourton-on-the-Water,"3,676",1.6
E05004313 : Campden-Vale,"5,888",0.8
E05004314 : Chedworth,"1,705",0.2
E05004315 : Churn Valley,"1,970",0.3
E05004316 : Cirencester Beeches,"4,072",33.2
E05004317 : Cirencester Chesterton,"3,779",14.5
E05004318 : Cirencester Park,"3,296",2.7
E05004319 : Cirencester Stratton-Whiteway,"3,614",6.7
E05004320 : Cirencester Watermoor,"4,315",31.2
E05004321 : Ermin,"1,793",0.3
E05004322 : Fairford,"4,031",1.3
E05004323 : Fosseridge,"1,794",0.3
E05004324 : Grumbolds Ash,"1,887",0.2
E05004325 : Hampton,"1,789",0.5
E05004326 : Kempsford-Lechlade,"3,973",1.2
E05004327 : Moreton-in-Marsh,"3,493",5.7
E05004328 : Northleach,"1,854",0.8
E05004329 : Rissingtons,"2,103",0.7
E05004330 : Riversmeet,"1,766",0.2
E05004331 : Sandywell,"1,829",0.3
E05004332 : Tetbury,"5,472",28.1
E05004333 : Thames Head,"1,955",0.5
E05004334 : Three Rivers,"1,900",0.2
E05004335 : Water Park,"5,707",1.4
"E05004336 : Alvington, Aylburton and West Lydney","3,094",1.3
E05004337 : Awre,"1,714",0.8
E05004338 : Berry Hill,"1,652",23.2
E05004339 : Blaisdon and Longhope,"1,754",0.9
E05004340 : Bream,"3,171",4.4
E05004341 : Bromesberrow and Dymock,"1,901",0.4
E05004342 : Christchurch and English Bicknor,"1,520",0.6
E05004343 : Churcham and Huntley,"1,760",0.9
E05004344 : Cinderford East,"3,545",36.9
E05004345 : Cinderford West,"4,949",3.3
E05004346 : Coleford Central,"3,072",4.8
E05004347 : Coleford East,"5,287",13.9
E05004348 : Hartpury,"2,496",0.8
E05004349 : Hewelsfield and Woolaston,"1,690",0.9
E05004350 : Littledean and Ruspidge,"3,768",1.8
E05004351 : Lydbrook and Ruardean,"4,819",3.1
E05004352 : Lydney East,"5,047",7.6
E05004353 : Lydney North,"1,852",4.0
E05004354 : Mitcheldean and Drybrook,"4,607",3.3
E05004355 : Newent Central,"3,767",19.7
E05004356 : Newland and St Briavels,"3,297",0.8
E05004357 : Newnham and Westbury,"3,088",0.7
E05004358 : Oxenhall and Newent North East,"1,583",0.6
E05004359 : Pillowell,"3,522",1.3
E05004360 : Redmarley,"1,856",0.6
E05004361 : Tibberton,"1,664",0.5
E05004362 : Tidenham,"5,486",2.1
E05004363 : Abbey,"9,495",48.3
E05004364 : Barnwood,"10,317",25.9
E05004365 : Barton and Tredworth,"10,953",83.3
E05004366 : Elmbridge,"5,776",40.1
E05004367 : Grange,"5,839",41.5
E05004368 : Hucclecote,"8,826",45.5
E05004369 : Kingsholm and Wotton,"7,411",34.4
E05004370 : Longlevens,"9,532",33.8
E05004371 : Matson and Robinswood,"10,277",21.1
E05004372 : Moreland,"10,253",56.1
E05004373 : Podsmead,"2,994",17.1
E05004374 : Quedgeley Fieldcourt,"10,421",29.8
E05004375 : Quedgeley Severn Vale,"7,098",31.3
E05004376 : Tuffley,"5,889",30.3
E05004377 : Westgate,"6,607",9.0
E05004378 : Amberley and Woodchester,"2,116",2.8
E05004379 : Berkeley,"4,181",1.7
E05004380 : Bisley,"2,142",0.7
E05004381 : Cainscross,"7,316",36.2
E05004382 : Cam East,"4,134",6.9
E05004383 : Cam West,"4,028",6.9
E05004384 : Central,"2,150",15.1
E05004385 : Chalford,"6,509",13.6
E05004386 : Coaley and Uley,"2,299",0.9
E05004387 : Dursley,"6,697",14.5
E05004388 : Eastington and Standish,"1,794",0.9
E05004389 : Farmhill and Paganhill,"2,166",31.3
E05004390 : Hardwicke,"4,783",1.5
E05004391 : Kingswood,"2,096",0.8
E05004392 : Minchinhampton,"4,357",2.6
E05004393 : Nailsworth,"6,614",3.6
"E05004394 : Randwick, Whiteshill and Ruscombe","1,747",5.0
E05004395 : Painswick,"4,158",0.9
E05004396 : Rodborough,"4,543",13.6
E05004397 : Severn,"4,760",0.9
E05004398 : Slade,"2,141",38.9
E05004399 : Stonehouse,"7,725",15.6
E05004400 : The Stanleys,"3,960",2.2
E05004401 : Thrupp,"2,327",4.6
E05004402 : Trinity,"2,150",13.3
E05004403 : Uplands,"2,215",11.2
E05004404 : Upton St Leonards,"2,845",1.3
E05004405 : Vale,"1,879",0.4
E05004406 : Valley,"2,437",22.2
E05004407 : Wotton-under-Edge,"6,510",2.0
E05004408 : Ashchurch with Walton Cardiff,"4,534",2.7
E05008563 : Badgeworth,"2,124",0.7
E05008564 : Brockworth,"7,387",7.0
E05008565 : Churchdown Brookfield,"4,098",7.4
E05004412 : Churchdown St John's,"6,892",15.4
E05008566 : Cleeve Grange,"2,009",7.0
E05008567 : Cleeve Hill,"4,204",1.7
E05008568 : Cleeve St Michael's,"4,248",26.0
E05004416 : Cleeve West,"4,355",13.4
E05008569 : Coombe Hill,"4,545",0.9
E05004418 : Highnam with Haw Bridge,"4,206",0.7
E05008570 : Hucclecote,"1,332",15.1
E05004420 : Innsworth with Down Hatherley,"2,887",4.2
E05008571 : Isbourne,"1,955",0.3
E05004422 : Northway,"5,080",28.8
E05008572 : Oxenton Hill,"1,592",0.7
E05008573 : Shurdington,"1,936",2.2
E05004425 : Tewkesbury Newtown,"1,969",10.3
E05008574 : Tewkesbury Prior's Park,"4,094",6.7
E05004427 : Tewkesbury Town with Mitton,"4,533",19.8
E05004428 : Twyning,"1,668",1.1
E05008575 : Winchcombe,"6,295",0.8
E05006760 : Ammerdown,"2,371",0.4
"E05006761 : Ashwick, Chilcompton and Stratton","4,835",1.7
E05006762 : Beckington and Selwood,"2,125",0.5
E05006763 : Butleigh and Baltonsborough,"2,198",0.6
E05006764 : Chewton Mendip and Ston Easton,"2,147",0.2
E05006765 : Coleford and Holcombe,"4,700",2.0
"E05006766 : Cranmore, Doulting and Nunney","2,374",0.5
E05006767 : Creech,"2,334",1.1
E05006768 : Croscombe and Pilton,"2,284",0.5
E05006769 : Frome Berkley Down,"4,235",35.6
E05006770 : Frome College,"4,496",33.3
E05006771 : Frome Keyford,"4,959",22.1
E05006772 : Frome Market,"4,846",34.1
E05006773 : Frome Oakfield,"2,927",38.2
E05006774 : Frome Park,"4,740",35.0
E05006775 : Glastonbury St Benedict's,"2,406",11.0
E05006776 : Glastonbury St Edmund's,"2,248",1.8
E05006777 : Glastonbury St John's,"2,220",7.4
E05006778 : Glastonbury St Mary's,"2,058",7.4
E05006779 : Moor,"2,540",0.6
E05006780 : Postlebury,"2,061",0.3
E05006781 : Rode and Norton St Philip,"2,227",0.7
E05006782 : Rodney and Westbury,"2,127",0.9
E05006783 : St Cuthbert Out North,"2,421",0.7
E05006784 : Shepton East,"5,493",7.7
E05006785 : Shepton West,"4,876",23.1
E05006786 : Street North,"4,157",11.1
E05006787 : Street South,"5,589",7.6
E05006788 : Street West,"2,059",35.3
E05006789 : The Pennards and Ditcheat,"2,180",0.4
E05006790 : Wells Central,"1,961",16.3
E05006791 : Wells St Cuthbert's,"4,360",24.5
E05006792 : Wells St Thomas',"4,215",16.9
E05006793 : Wookey and St Cuthbert Out West,"2,510",0.6
E05008893 : Axevale,"4,261",1.2
E05008894 : Berrow,"2,169",1.5
E05008895 : Bridgwater Dunwear,"4,722",49.3
E05008896 : Bridgwater Eastover,"4,633",21.1
E05008897 : Bridgwater Fairfax,"7,766",52.4
E05008898 : Bridgwater Hamp,"5,272",47.7
E05008899 : Bridgwater Victoria,"6,281",56.1
E05008900 : Bridgwater Westover,"5,471",34.1
E05008901 : Bridgwater Wyndham,"4,241",7.3
E05008902 : Burnham Central,"7,182",33.6
E05008903 : Burnham North,"6,419",16.1
E05008904 : Cannington and Wembdon,"4,507",1.6
E05008905 : Cheddar and Shipham,"6,842",1.6
E05008906 : East Polden,"2,130",0.6
E05008907 : Highbridge and Burnham Marine,"7,555",16.1
E05008908 : Huntspill and Pawlett,"2,171",1.1
E05008909 : King's Isle,"4,506",0.9
E05008910 : Knoll,"5,016",0.8
E05008911 : North Petherton,"7,155",1.1
E05008912 : Puriton and Woolavington,"4,647",2.4
E05008913 : Quantocks,"4,471",0.6
E05008914 : Wedmore and Mark,"4,796",0.8
E05008915 : West Polden,"2,375",0.7
E05006819 : Blackdown,"2,334",0.4
E05006820 : Blackmoor Vale,"5,450",0.7
E05006821 : Bruton,"2,907",1.8
E05006822 : Brympton,"7,308",12.0
E05006823 : Burrow Hill,"2,211",0.7
E05006824 : Camelot,"2,742",0.8
E05006825 : Cary,"5,502",0.9
E05006826 : Chard Avishayes,"2,639",10.8
E05006827 : Chard Combe,"2,070",24.6
E05006828 : Chard Crimchard,"2,743",26.9
E05006829 : Chard Holyrood,"3,190",40.0
E05006830 : Chard Jocelyn,"2,432",19.9
E05006831 : Coker,"5,310",1.1
E05006832 : Crewkerne,"7,826",7.1
E05006833 : Curry Rivel,"2,527",1.1
E05006834 : Eggwood,"2,421",1.2
E05006835 : Hamdon,"2,711",3.3
E05006836 : Ilminster,"6,017",4.4
E05006837 : Islemoor,"2,772",0.6
E05006838 : Ivelchester,"4,319",1.1
E05006839 : Langport and Huish,"2,872",4.6
E05006840 : Martock,"5,724",2.0
E05006841 : Milborne Port,"2,802",2.1
E05006842 : Neroche,"2,428",0.9
E05006843 : Northstone,"3,005",0.9
E05006844 : Parrett,"2,336",0.9
E05006845 : St Michael's,"2,307",1.1
E05006846 : South Petherton,"4,866",1.9
E05006847 : Tatworth and Forton,"2,660",1.8
E05006848 : Tower,"2,442",0.3
E05006849 : Turn Hill,"2,830",0.5
E05006850 : Wessex,"5,402",1.4
E05006851 : Wincanton,"5,272",4.6
E05006852 : Windwhistle,"2,293",0.4
E05006853 : Yeovil Central,"7,716",43.0
E05006854 : Yeovil East,"7,575",32.4
E05006855 : Yeovil South,"8,798",20.3
E05006856 : Yeovil West,"7,449",38.7
E05006857 : Yeovil Without,"7,035",9.7
E05006858 : Bishop's Hull,"3,910",7.1
E05006859 : Bishop's Lydeard,"6,323",1.3
E05006860 : Blackdown,"2,064",0.4
E05006861 : Bradford-on-Tone,"2,337",0.7
E05006862 : Comeytrowe,"5,729",38.4
E05006863 : Milverton and North Deane,"2,208",0.7
E05006864 : Monument,"2,184",0.6
E05006865 : Neroche,"2,164",0.4
E05006866 : North Curry and Stoke St Gregory,"3,226",0.7
E05006867 : Norton Fitzwarren,"3,046",4.5
E05006868 : Ruishton and Creech,"4,008",2.4
E05006869 : Staplegrove,"4,004",2.0
E05006870 : Taunton Blackbrook and Holway,"6,457",42.9
E05006871 : Taunton Eastgate,"4,734",60.3
E05006872 : Taunton Fairwater,"6,321",49.5
E05006873 : Taunton Halcon,"6,464",37.6
E05006874 : Taunton Killams and Mountfield,"3,754",19.3
E05006875 : Taunton Lyngford,"5,514",37.3
E05006876 : Taunton Manor and Wilton,"5,394",19.9
E05006877 : Taunton Pyrland and Rowbarton,"6,248",43.4
E05006878 : Trull,"2,072",2.0
E05006879 : Wellington East,"3,865",19.3
E05006880 : Wellington North,"3,946",16.2
E05006881 : Wellington Rockwell Green and West,"6,011",14.3
E05006882 : West Monkton,"4,304",3.4
E05006883 : Wiveliscombe and West Deane,"3,900",0.6
E05008916 : Alcombe,"2,314",6.3
E05008917 : Brendon Hills,"1,287",0.1
E05008918 : Carhampton and Withycombe,"1,158",0.5
E05008919 : Crowcombe and Stogumber,"1,191",0.3
E05008920 : Dulverton and District,"2,491",0.3
E05008921 : Dunster and Timberscombe,"1,219",0.6
E05008922 : Greater Exmoor,"1,123",0.1
E05008923 : Minehead Central,"4,893",22.3
E05008924 : Minehead North,"2,139",11.9
E05008925 : Minehead South,"2,635",7.2
E05008926 : Old Cleeve,"2,196",0.4
E05008927 : Porlock and District,"2,338",0.2
E05008928 : Quantock Vale,"2,121",0.4
E05008929 : Watchet,"3,785",15.1
E05008930 : West Quantock,"1,088",0.4
E05008931 : Williton,"2,697",2.2
W05000001 : Aberffraw,"1,370",0.3
W05000002 : Amlwch Port,"2,507",9.4
W05000003 : Amlwch Rural,"1,282",0.8
W05000004 : Beaumaris,"1,938",2.3
W05000005 : Bodffordd,"1,534",0.4
W05000006 : Bodorgan,"1,704",0.4
W05000007 : Braint,"1,519",8.0
W05000008 : Bryngwran,"1,903",0.8
W05000009 : Brynteg,"1,869",3.5
W05000010 : Cadnant,"1,230",12.5
W05000011 : Cefni,"1,484",4.0
W05000882 : Cwm Cadnant,"2,254",1.0
W05000013 : Cyngar,"2,049",3.9
W05000014 : Gwyngyll,"1,588",8.9
W05000015 : Holyhead Town,"1,203",47.1
W05000883 : Kingsland,"1,525",12.8
W05000017 : Llanbadrig,"1,357",1.0
W05000884 : Llanbedrgoch,"1,513",1.5
W05000019 : Llanddyfnan,"1,315",0.2
W05000020 : Llaneilian,"2,264",0.5
W05000021 : Llanfaethlu,"1,648",0.5
W05000022 : Llanfair-yn-Neubwll,"2,925",0.8
W05000885 : Llanfihangel Ysgeifiog,"2,016",0.6
W05000024 : Llangoed,"1,229",1.3
W05000025 : Llanidan,"1,851",0.7
W05000026 : Llannerch-y-medd,"1,941",0.3
W05000886 : London Road,"1,493",30.2
W05000028 : Maeshyfryd,"2,286",16.8
W05000029 : Mechell,"1,545",0.4
W05000030 : Moelfre,"1,064",0.8
W05000031 : Morawelon,"1,504",22.3
W05000032 : Parc a'r Mynydd,"1,154",5.5
W05000887 : Pentraeth,"1,869",0.6
W05000034 : Porthyfelin,"2,266",37.2
W05000035 : Rhosneigr,"1,008",4.2
W05000036 : Rhosyr,"2,226",0.6
W05000888 : Trearddur,"2,228",0.8
W05000038 : Tudur,"1,583",7.5
W05000039 : Tysilio,"2,146",8.5
W05000040 : Valley,"2,361",2.7
W05000041 : Aberdaron,965,0.2
W05000042 : Aberdovey,"1,282",0.2
W05000043 : Abererch,"1,354",0.5
W05000044 : Abermaw,"2,522",1.6
W05000045 : Abersoch,783,1.3
W05000046 : Arllechwedd,"1,398",0.2
W05000047 : Bala,"1,974",8.2
W05000048 : Bethel,"1,395",1.5
W05000049 : Bontnewydd,"1,162",1.2
W05000050 : Botwnnog,996,0.3
W05000051 : Bowydd and Rhiw,"1,878",0.7
W05000052 : Brithdir and Llanfachreth/Ganllwyd/Llanelltyd,"1,444",0.1
W05000053 : Bryn-crug/Llanfihangel,961,0.1
W05000054 : Cadnant,"2,060",9.7
W05000055 : Clynnog,997,0.2
W05000056 : Corris/Mawddwy,"1,345",0.1
W05000057 : Criccieth,"1,753",2.6
W05000058 : Cwm-y-Glo,995,0.7
W05000059 : Deiniol,"1,839",34.6
W05000060 : Deiniolen,"1,909",1.1
W05000061 : Dewi,"1,849",16.8
W05000062 : Diffwys and Maenofferen,"1,126",4.3
W05000063 : Dolbenmaen,"1,219",0.1
W05000064 : Dolgellau North,"1,204",0.4
W05000065 : Dolgellau South,"1,484",6.2
W05000066 : Dyffryn Ardudwy,"1,540",0.3
W05000067 : Efail-newydd/Buan,"1,275",0.2
W05000068 : Garth,997,20.3
W05000069 : Gerlan,"2,380",9.0
W05000070 : Glyder,"1,777",18.1
W05000071 : Groeslon,"1,695",0.8
W05000072 : Harlech,"1,997",0.3
W05000073 : Hendre,"1,496",15.0
W05000074 : Hirael,"1,706",50.5
W05000075 : Llanaelhaearn,"1,683",0.3
W05000076 : Llanbedr,"1,098",0.2
W05000077 : Llanbedrog,"1,002",1.1
W05000078 : Llanberis,"2,026",0.4
W05000079 : Llandderfel,"1,511",0.1
W05000080 : Llanengan,"1,206",0.4
W05000081 : Llangelynin,"2,007",0.2
W05000082 : Llanllyfni,"1,256",0.4
W05000083 : Llanrug,"1,916",10.2
W05000084 : Llanuwchllyn,877,0.0
W05000085 : Llanwnda,"1,994",1.3
W05000086 : Llanystumdwy,"2,080",0.3
W05000087 : Marchog,"2,566",24.4
W05000088 : Menai (Bangor),"4,128",41.3
W05000089 : Menai (Caernarfon),"2,196",8.7
W05000090 : Morfa Nefyn,"1,229",1.2
W05000091 : Nefyn,"1,373",2.7
W05000092 : Ogwen,"2,355",18.7
W05000093 : Peblig (Caernarfon),"2,321",23.0
W05000094 : Penisarwaun,"1,768",1.3
W05000095 : Penrhyndeudraeth,"2,587",0.6
W05000096 : Pentir,"2,450",1.3
W05000097 : Penygroes,"1,793",2.5
W05000098 : Porthmadog East,"1,775",3.9
W05000099 : Porthmadog West,"1,732",2.0
W05000100 : Porthmadog-Tremadog,"1,257",0.1
W05000101 : Pwllheli North,"2,190",5.7
W05000102 : Pwllheli South,"1,886",11.8
W05000103 : Seiont,"3,038",8.2
W05000104 : Talysarn,"1,930",1.7
W05000105 : Teigl,"1,871",0.7
W05000106 : Trawsfynydd,"1,604",0.1
W05000107 : Tregarth & Mynydd Llandygai,"2,218",0.8
W05000108 : Tudweiliog,970,0.3
W05000109 : Tywyn,"3,264",1.2
W05000110 : Waunfawr,"1,676",0.3
W05000111 : Y Felinheli,"2,284",3.9
W05000112 : Abergele Pensarn,"2,461",10.5
W05000113 : Betws-y-Coed,"1,244",0.1
W05000114 : Betws yn Rhos,"2,122",0.2
W05000115 : Bryn,"1,815",1.9
W05000116 : Caerhun,"2,007",0.3
W05000117 : Capelulo,"1,485",2.9
W05000118 : Colwyn,"4,566",26.2
W05000119 : Conwy,"4,065",6.7
W05000913 : Craig-y-Don,"3,424",11.9
W05000121 : Crwst,"2,118",5.3
W05000914 : Deganwy,"3,936",14.6
W05000123 : Eglwysbach,"1,537",0.3
W05000124 : Eirias,"3,547",16.2
W05000125 : Gele,"4,611",3.6
W05000126 : Glyn,"4,340",15.1
W05000127 : Gogarth,"3,747",7.0
W05000128 : Gower,"1,205",9.5
W05000129 : Kinmel Bay,"6,080",12.9
W05000130 : Llanddulas,"1,542",3.0
W05000131 : Llandrillo yn Rhos,"7,593",24.3
W05000132 : Llangernyw,"1,435",0.1
W05000133 : Llansanffraid,"2,196",1.3
W05000134 : Llansannan,"1,925",0.2
W05000135 : Llysfaen,"2,743",4.8
W05000915 : Marl,"3,879",16.1
W05000137 : Mochdre,"1,923",6.8
W05000138 : Mostyn,"3,639",29.1
W05000139 : Pandy,"1,822",2.2
W05000140 : Pant-yr-afon/Penmaenan,"2,868",2.8
W05000916 : Penrhyn,"4,883",6.3
W05000917 : Pensarn,"2,843",9.8
W05000143 : Pentre Mawr,"3,505",21.1
W05000144 : Rhiw,"6,641",13.5
W05000145 : Towyn,"2,380",4.2
W05000146 : Trefriw,"1,229",0.2
W05000918 : Tudno,"5,008",23.3
W05000148 : Uwch Conwy,"1,465",0.1
W05000149 : Uwchaled,"1,399",0.1
W05000150 : Bodelwyddan,"2,147",1.3
W05000151 : Corwen,"2,325",0.3
W05000152 : Denbigh Central,"2,122",19.9
W05000153 : Denbigh Lower,"4,561",2.6
W05000154 : Denbigh Upper/Henllan,"3,165",1.8
W05000155 : Dyserth,"2,269",6.1
W05000156 : Efenechtyd,"1,686",0.2
W05000157 : Llanarmon-yn-Ial/Llandegla,"2,456",0.3
W05000158 : Llanbedr Dyffryn Clwyd/Llangynhafal,"1,421",0.5
W05000159 : Llandrillo,"1,122",0.1
W05000160 : Llandyrnog,"2,156",0.5
W05000161 : Llanfair Dyffryn Clwyd/Gwyddelwern,"2,227",0.2
W05000162 : Llangollen,"4,079",0.7
W05000163 : Llanrhaeadr-yng-Nghinmeirch,"1,856",0.2
W05000164 : Prestatyn Central,"3,532",23.5
W05000165 : Prestatyn East,"4,015",7.0
W05000166 : Prestatyn Meliden,"2,066",13.0
W05000167 : Prestatyn North,"5,716",30.7
W05000168 : Prestatyn South West,"3,520",6.8
W05000169 : Rhuddlan,"3,709",3.1
W05000170 : Rhyl East,"4,217",24.8
W05000171 : Rhyl South,"3,569",43.2
W05000172 : Rhyl South East,"7,594",21.8
W05000173 : Rhyl South West,"5,383",29.3
W05000174 : Rhyl West,"4,386",40.6
W05000175 : Ruthin,"5,461",6.7
W05000176 : St. Asaph East,"1,674",4.6
W05000177 : St. Asaph West,"1,681",6.0
W05000178 : Trefnant,"1,970",0.8
W05000179 : Tremeirchion,"1,649",0.4
W05000180 : Argoed,"2,836",8.0
W05000181 : Aston,"3,117",9.2
